GeneNames		rank
SLC25A15		6.872895202
CAMK2A		6.108462542
ZNF185		5.634512015
RNF150		5.494850022
YWHAB		5.442492798
VTA1		5.263603498
TMEM181		4.818156412
GMIP		4.798602876
VAV3		4.698970004
CLDND1		4.377785977
UBQLN4		4.339134522
ASAH2		4.303643611
DYNLRB1		4.236572006
FOLH1B		4.213248578
LDAH		4.199282922
VAPA		4.163043263
NIFK		4.145693958
FUNDC2		4.067526235
SULT4A1		4.060480747
CITED2		4.018634491
GPA33		3.895437781
ATXN2		3.867846014
ATP6V0B		3.813934061
UGT1A6		3.792424871
TMEM209		3.77108403
UGP2		3.770448696
FAM210B		3.752242708
CENPN		3.737921662
IMP4		3.715066453
NEURL3		3.661581359
RAB7B		3.645589965
UEVLD		3.62754093
TMEM171		3.603990807
AFG1L		3.58228424
SLC2A14		3.552499321
NBEA		3.530478414
TTC29		3.43534932
SLC25A29		3.381513644
PGAM4		3.341617464
GSPT2		3.338872886
TTYH3		3.335688101
ADHFE1		3.308108169
PDPN		3.290040127
PABPN1		3.257517607
GDF7		3.21424889
TPM4		3.210919437
RNF44		3.201211286
TMPPE		3.194249104
MIC13		3.184888671
TPCN1		3.174169638
TEX44		3.153335125
ORMDL2		3.108737478
CR1L		3.105229938
LONRF2		3.047042005
PDK4		3.037569574
TOM1L1		3.035541423
C3AR1		2.998873166
TOM1		2.950474978
TMPO		2.943600214
CRMP1		2.92669415
IRF5		2.92203721
PRPF4B		2.916156027
MRPL49		2.896831429
KIF5A		2.890126624
SIGLEC14		2.875224589
THBS1		2.849575777
TGM2		2.847047571
CALD1		2.842996803
TAOK2		2.793057608
RPS27A		2.742945001
ACTG2		2.71649773
ARF3		2.705459267
SNU13		2.702460302
EMP3		2.679751075
SYPL1		2.670952342
CEACAM3		2.653680675
NUDT1		2.6430039
UGT2B10		2.634853407
SYK		2.627753382
STUB1		2.611058389
STK25		2.606309176
STARD3NL		2.600454163
SPP1		2.591812628
GNAT2		2.583961432
ATP5J		2.578072776
AKR1C4		2.572801568
RHOQ		2.566956837
SNX2		2.563549192
ALOX15		2.556046134
ATP1A3		2.546738856
SNX18		2.53516944
SRP19		2.52302672
SLK		2.513890153
ASGR2		2.505983233
SLC44A2		2.499486346
UGT2B4		2.435608681
MT1F		2.432131754
MT-ND3		2.419689969
SLC3A1		2.407847679
GJB6		2.40341346
CNIH1		2.380368102
SLC13A3		2.357872164
SHMT1		2.357801678
BANF1		2.352452831
CA11		2.330608821
SMPD2		2.326684223
SELENOF		2.322173583
SIPA1L3		2.318487052
HS6ST1		2.311180953
SCIN		2.306027401
CLIC2		2.297116104
ATP2A1		2.28717182
KRT26		2.28041012
LGALS16		2.280047139
CLCA1		2.279145472
IGHV3-20		2.264360866
IGHV3-21		2.244621514
PPIAL4F		2.238570082
SCEL		2.238570082
HBS1L		2.238570007
LSM5		2.238570007
PCDHA10		2.238570007
PCDHGC5		2.238570007
KLK5		2.236379237
LSM2		2.230117473
YBX2		2.227746304
PLEKHA6		2.226651799
SLC22A14		2.224379068
NIP7		2.21997599
PPP1R3C		2.213258726
CLEC4A		2.206166048
METTL1		2.186303148
NCDN		2.163224225
SEMA5B		2.147377664
GSKIP		2.138683627
IRAK4		2.136231473
BSDC1		2.135168597
SLC39A9		2.129734775
RAB6B		2.127418444
ABCB10		2.125508209
UGT1A8		2.119808351
SBSN		2.112278976
NELFA		2.105815908
KIF13A		2.100298753
TRPV6		2.098437014
SRR		2.087404303
DERL2		2.075985766
SLC6A16		2.06860799
SLC4A1AP		2.063489525
MTA3		2.055982914
PDCD1LG2		2.034413063
PLIN2		2.032477951
AMDHD1		2.030247779
CEP63		2.020511538
CCDC7		2.019354484
FAM167A		2.011415628
CCDC136		2.003720685
CCDC34		1.999155858
PIK3IP1		1.998715694
MRPL53		1.989733847
TMEM186		1.987246396
ATP6V1E2		1.983812186
OSBP2		1.981129935
RAB1C		1.973412687
H1FX		1.968308549
SEC14L1		1.965087961
RSPH1		1.94896902
ARAP3		1.94804229
SLC22A17		1.930249713
ATP8B4		1.924520122
LILRB1		1.915586854
PCYOX1L		1.892490945
WDSUB1		1.882788051
GDPD1		1.881594755
CSGALNACT2		1.868588204
HSCB		1.855520943
ERO1B		1.854669782
RNF130		1.848888474
HEATR5A		1.845788204
SESTD1		1.844047702
OVCH2		1.843547046
PEAK3		1.84305783
REG3G		1.840863284
C16orf46		1.840092632
ANO1		1.826504036
MARC1		1.824460008
C6orf10		1.820005552
SAMD4B		1.817946344
TCTE1		1.803705485
HSP90AA4P		1.798863148
FAM161A		1.798863093
EXT1		1.798863066
RTN4		1.798646881
RRP1B		1.791874347
KIAA0100		1.791607074
SQLE		1.782076062
EDDM3A		1.779659365
GK3P		1.770931542
REST		1.766919909
DPYD		1.766477062
KIF1A		1.765492891
IL10RB		1.764083361
AKR1C1		1.760745354
PLAUR		1.754364686
TIAL1		1.74801052
CYP4F8		1.742188422
RAE1		1.734833017
SNRPF		1.728531652
PSME3		1.70745358
PEX3		1.702248
MMP14		1.669569748
SULT1E1		1.667975509
PPP3CC		1.650588221
AHR		1.649428553
RARS		1.647330747
NMT1		1.646673533
GTF2E1		1.64569527
HSD11B1		1.640425761
FAS		1.636723591
ANOS1		1.629864561
UGT1A1		1.616074459
IDS		1.616074441
COL6A2		1.616074405
GTF2F2		1.616074405
H2AFX		1.616074405
IFITM1		1.616074405
IFNGR1		1.616074405
CHRNG		1.616074387
ELFN1		1.616074387
JMJD7		1.616074387
MS4A1		1.616074387
RAC1		1.616074387
HIST1H2AC		1.61607437
IGHA2		1.61607437
IGHV2-5		1.61607437
TGFB1		1.61607437
GOSR1		1.616074352
LILRB3		1.616074352
SRPX2		1.616008027
EIF4G3		1.611572596
COCH		1.60790041
RRP8		1.606831856
TIMM23		1.605791557
HAX1		1.601808243
KRT35		1.600078265
NCF1B		1.598912212
ARRDC5		1.597508631
IGHV7-4-1		1.597107706
IGKV1D-43		1.59443327
ALG6		1.590427998
ACTL7A		1.589245941
TRAPPC1		1.58875538
TIMM22		1.588246626
RAB5A		1.582759416
L1RE1		1.582293403
MRTO4		1.580683663
CDC23		1.579976834
RASAL2		1.579712201
DNAI1		1.577285946
DKK3		1.55054877
PAK5		1.547148211
RABL2B		1.547148211
KCMF1		1.545335997
MRPL15		1.536039798
ELOVL5		1.534933138
PSD3		1.5337939
PGPEP1		1.530558917
SPATS2L		1.528076044
PLSCR2		1.515457992
PXMP2		1.506878905
ANKZF1		1.503153429
COQ10B		1.500577175
LRRC19		1.499586042
CHRD		1.496487463
LMAN2L		1.496243463
NAA50		1.490329257
SLIRP		1.48204736
SLC39A8		1.474196618
CRNKL1		1.471118957
SGPP1		1.458595595
NDC1		1.456698479
PRADC1		1.442974169
PLCD4		1.440711554
MAPKAP1		1.438716358
ATF6B		1.432300458
FOPNL		1.428811341
UROC1		1.428122187
CAPZA3		1.413273867
VMP1		1.412902193
TAMM41		1.411120191
ARHGAP45		1.410745066
PTPRD		1.409806894
PTPMT1		1.407776372
FNDC8		1.402277046
SUN5		1.40008775
KLHDC4		1.397958814
SMARCC2		1.395017421
NUP43		1.394857796
ACRBP		1.394471872
KCT2		1.394176556
PDCD7		1.393220116
EFHB		1.389221742
GALNT4		1.384817793
MYOCD		1.379147243
KIF18B		1.365808057
PTRH1		1.363560952
SKAP1		1.361807982
FCHSD1		1.359955144
C11orf74		1.356834625
RSPH3		1.355401214
MOB3B		1.355304465
DSG4		1.337111928
UBE2R2		1.327732994
MFSD6		1.317217169
CD300LG		1.312963721
KLHDC10		1.310011021
PRPF40B		1.30562007
SLC8B1		1.304353332
FBXW9		1.304257764
RRAGB		1.30098524
WDR78		1.300412972
EMC10		1.29899942
MRPL2		1.295986101
KIAA1217		1.295010612
NCMAP		1.291056137
TOR2A		1.287942875
ZNF326		1.285194856
TRIM16L		1.285194847
ARHGAP31		1.285194839
COL24A1		1.285194831
SURF1		1.285194789
WDR43		1.285194739
FXYD3		1.282121285
PDIA5		1.281424579
TUSC3		1.275284061
PSMA5		1.274998948
ARHGAP4		1.264096913
SRSF3		1.260943008
MRPS25		1.256383313
CYP4F2		1.252903438
NCS1		1.252363318
PLP1		1.248845304
