GENE NAMES	Fold change	p-value	SIGN	LOGP	RANK
UMOD	-1.126351634	0.43275546	-1	0.363757444	-0.363757444
ANPEP	1.332641972	0.034819101	1	1.458182449	1.458182449
ACTG1	1.454623855	3.23E-05	1	4.490699412	4.490699412
KRT4	1.332485294	0.205929403	1	0.686281639	0.686281639
KRT6A	1.471445893	0.081039881	1	1.091301203	1.091301203
MME	-1.373774471	0.078072461	-1	1.107502133	-1.107502133
KRT1	1.634276096	0.0028216	1	2.549504577	2.549504577
DPP4	1.268439751	0.54015376	1	0.267482597	0.267482597
ALB	-2.557723378	0.000305226	-1	3.515377881	-3.515377881
DSP	1.114133821	0.478325807	1	0.320276187	0.320276187
"=""KRT10"	1.672362801	0.000325267	1	3.487760324	3.487760324
DPEP1	1.002908231	0.882090193	1	0.054487006	0.054487006
LRP2	-1.158374679	0.226941353	-1	0.64408636	-0.64408636
PDCD6IP	-1.047272859	0.356576404	-1	0.4478474	-0.4478474
HSPA8	-1.094231537	0.679815901	-1	0.167608682	-0.167608682
CUBN	-1.770446173	0.002093653	-1	2.679095297	-2.679095297
ANXA1	1.727551505	0.000326989	1	3.485466834	3.485466834
MSN	-1.180414447	0.096170577	-1	1.016957779	-1.016957779
ANXA6	1.16671185	0.524841308	1	0.279971991	0.279971991
EGF	-1.303463372	0.078542898	-1	1.104893079	-1.104893079
TUBB4B	1.041778842	0.47755198	1	0.32097935	0.32097935
ENO1	1.168317855	0.048472651	1	1.314503224	1.314503224
ATP5B	1.548737787	0.00070658	1	3.150838464	3.150838464
GAPDH	1.134774511	0.136385694	1	0.865231182	0.865231182
"=""C3"	-1.265268104	0.420170682	-1	0.376574254	-0.376574254
ABCB1	-1.359466414	0.038405636	-1	1.415605038	-1.415605038
ACTN4	1.016250788	0.86702518	1	0.06196829	0.06196829
SERPINA5	-1.215435889	0.700946032	-1	0.154315418	-0.154315418
SLC12A1	-1.203239607	0.304396177	-1	0.516560806	-0.516560806
"=""HSP90AA1"	-1.166448	0.035522134	-1	1.449500955	-1.449500955
CLTC	-1.020318473	0.943391401	-1	0.025308087	-0.025308087
ENPEP	-1.192795933	0.069231575	-1	1.159695791	-1.159695791
MGAM	1.026734561	0.482116448	1	0.316848051	0.316848051
"=""ANXA2"	2.185274987	1.62E-06	1	5.789831319	5.789831319
TUBA1A	1.092390751	0.103797564	1	0.98381284	0.98381284
KRT5	1.696136736	0.005327931	1	2.273441429	2.273441429
MYH9	-1.154565623	0.487100199	-1	0.312381693	-0.312381693
IGHG1	-1.844687579	0.035312278	-1	1.452074268	-1.452074268
C4B	-1.264430615	0.451080971	-1	0.345745493	-0.345745493
PPL	1.052955568	0.624323551	1	0.204590282	0.204590282
CNDP2	1.035877224	0.69243156	1	0.159623146	0.159623146
"=""ATP1A1"	1.12755407	0.393242353	1	0.405339714	0.405339714
PKM	-1.432431835	1.40E-05	-1	4.852922132	-4.852922132
"=""EEF1A1"	-1.043011192	0.77970553	-1	0.108069385	-0.108069385
SDCBP	2.145651672	0.000753713	1	3.122794109	3.122794109
EHD1	-1.058940253	0.777148298	-1	0.1094961	-0.1094961
SERPINA1	-1.428079877	0.248181171	-1	0.605231171	-0.605231171
APOA4	-1.179087223	0.074579073	-1	1.127383017	-1.127383017
KRT9	1.783472309	0.000881387	1	3.054833124	3.054833124
ANXA11	1.485036829	0.042626932	1	1.370315919	1.370315919
"=""HSPA1B"	-1.03300951	0.982529639	-1	0.00765434	-0.00765434
ALDOB	1.114497527	0.4780436	1	0.320532492	0.320532492
PGK1	-1.109153231	0.623321422	-1	0.205287947	-0.205287947
XPNPEP2	-1.130381216	0.139502837	-1	0.85541696	-0.85541696
EZR	-1.289899108	0.011630931	-1	1.93438551	-1.93438551
OLFM4	-2.293339483	0.000290522	-1	3.536821683	-3.536821683
LGALS3BP	1.348456074	0.014689387	1	1.832996335	1.832996335
ATP6V1A	-1.096365271	0.470965225	-1	0.327011159	-0.327011159
IQGAP1	-1.136236751	0.639280763	-1	0.194308364	-0.194308364
ASS1	1.1063784	0.745549478	1	0.127523529	0.127523529
ATP5A1	1.307894538	0.032134104	1	1.493033801	1.493033801
LTF	-1.692647056	0.063972793	-1	1.194004691	-1.194004691
"=""PDZK1"	-1.09040061	0.192393192	-1	0.715810301	-0.715810301
DYNC1H1	-1.45110179	0.140334251	-1	0.852836318	-0.852836318
