Gene.names	p-value	log2
UMOD	0,935748343	0,032802318
ANPEP	0,001287874	0,596567761
ACTG1	0,001413918	0,382518377
KRT4	0,050805439	0,206224299
KRT6A	0,008244426	0,618807683
MME	0,958923533	0,068219487
KRT1	0,935577575	0,063101775
DPP4	0,002356387	0,647973956
ALB	0,001886891	1,170272416
DSP	0,001351469	1,536616427
KRT10	0,634800918	0,273201332
DPEP1	0,779993467	0,041874408
LRP2	0,03910422	0,649130649
PDCD6IP	0,222132652	0,202816628
HSPA8	0,024666049	0,226046464
CUBN	0,142412268	0,315209158
ANXA1	0,166906129	0,00010336
MSN	0,022886229	0,500513137
ANXA6	0,882748463	0,128327183
TUBB4B	0,56628878	0,070352581
ENO1	0,048170686	0,360922265
ATP5B	0,019849611	0,678728093
GAPDH	0,000161278	0,543444851
C3	0,126228541	0,431594757
ABCB1	0,938848592	0,085985806
ACTN4	0,555746563	0,079652346
SERPINA5	0,069342491	0,906110575
SLC12A1	0,859480201	0,007579549
HSP90AA1	0,035033373	0,211610204
CLTC	0,245817889	0,213056872
ENPEP	0,072920699	0,384569069
MGAM	0,142016989	0,666785119
ANXA2	0,234534974	0,248491532
TUBA1A	0,874990629	0,02178731
KRT5	0,165653564	0,030545512
MYH9	0,002697187	0,582626864
IGHG1	0,444222983	0,323416761
C4B	0,085209787	0,792007293
PPL	0,001589325	1,652412654
CNDP2	0,265129555	0,218309539
ATP1A1	0,025181859	0,682077126
EEF1A1	0,571436655	0,092176002
EHD1	0,28847989	0,332189647
SERPINA1	0,144703591	0,198661243
APOA4	0,112962061	0,122797092
KRT9	0,043656092	0,376906566
ANXA11	0,000653298	0,608029633
HSPA1B	0,100818745	0,177897543
ALDOB	0,0386454	0,563397285
PGK1	0,301068194	0,117092872
XPNPEP2	0,418614158	0,049612611
EZR	0,698679322	0,049171013
OLFM4	0,531564787	0,255562126
LGALS3BP	1,52E-05	1,334377808
IQGAP1	0,089149879	0,452040458
ASS1	0,330719475	0,279039245
ATP5A1	0,166580123	0,498639261
LTF	0,596461423	0,322453755
PDZK1	0,120873698	0,820923463
DYNC1H1	0,001765146	0,808032132
SLC12A3	0,196092306	0,544328482
HBB	0,060924156	0,426717338
JUP	2,75E-05	1,448428246
FASN	8,89E-06	0,955030811
HSPB1	0,773093477	0,287473572
VDAC1	0,290671118	0,338186717
A1BG	0,193067218	13,28771238
IGHA1	0,116719698	0,662478368
CAPN7	0,922921914	0,129058485
ACE	0,256281819	0,315909681
STOM	0,047018309	0,541321009
ACY1	0,061290189	0,484424412
GGT1	0,088139525	0,254405443
CP	0,889654546	0,061049329
MAN1A1	0,299657498	0,033902918
NAGLU	0,7699409	0,034314441
A2ML1	0,083372862	0,753409639
AMBP	0,453692443	0,464974472
WDR1	0,493323757	0,13356462
EVPL	0,067225126	1,138044101
MASP2	0,05472448	0,607668894
BHMT	0,365877395	0,185011337
TF	0,268700114	1,037232516
GPRC5C	4,19E-05	1,079801615
UBB	0,000458276	0,747228129
AMY2A	0,659641264	0,455565058
CRNN	0,030876125	1,040586265
FGA	0,002606385	1,649482314
GPI	0,000669623	0,402067197
VPS4A	0,742604826	0,007204381
ANXA5	0,188967033	0,383524912
TKFC	0,495295588	0,114067113
ABHD17B	0,358840184	0,713642735
ALDH1L1	0,37811408	0,140033426
ABLIM1	0,027895849	2,403262628
HSP90AB1	0,002696539	0,439137534
PFKL	0,608067614	0,030120901
KRT14	0,518363372	0,068693477
FGB	0,131926856	1,59462046
